2015-04-29 09:24:39 INFO - Word dictionary doesn't contain word: "что записано"
2015-04-29 09:24:39 INFO - Word dictionary doesn't contain word: "записать на специальный носитель"
2015-04-29 09:24:39 INFO - Word dictionary doesn't contain word: "то"
2015-04-29 09:24:39 INFO - Word dictionary doesn't contain word: "что записано"
2015-04-29 09:24:39 INFO - Word dictionary doesn't contain word: "то"
2015-04-29 09:24:39 INFO - Word dictionary doesn't contain word: "что записано"
2015-04-29 09:24:39 INFO - Word dictionary doesn't contain word: "слушающий"
2015-04-29 09:24:39 INFO - Word dictionary doesn't contain word: "слушающий"
2015-04-29 09:24:39 INFO - Word dictionary doesn't contain word: "зрители"
2015-04-29 09:24:39 INFO - Word dictionary doesn't contain word: "зрители"
2015-04-29 09:24:40 INFO - Word dictionary doesn't contain word: "не скопированный"
2015-04-29 09:24:40 INFO - Word dictionary doesn't contain word: "не скопированный"
2015-04-29 09:24:40 INFO - Word dictionary doesn't contain word: "не скопированный"
2015-04-29 09:24:40 INFO - Word dictionary doesn't contain word: "не скопированный"
2015-04-29 09:24:40 INFO - Word dictionary doesn't contain word: "афганцы"
2015-04-29 09:24:41 INFO - Word dictionary doesn't contain word: "дать возможность увидеть"
2015-04-29 09:24:41 INFO - Word dictionary doesn't contain word: "американцы"
2015-04-29 09:24:41 INFO - Word dictionary doesn't contain word: "негры"
2015-04-29 09:24:41 INFO - Word dictionary doesn't contain word: "американцы"
2015-04-29 09:24:41 INFO - Word dictionary doesn't contain word: "негры"
2015-04-29 09:24:41 INFO - Word dictionary doesn't contain word: "американцы"
2015-04-29 09:24:41 INFO - Word dictionary doesn't contain word: "негры"
